Symbol	NSE IK Key
360ONE	NSE_EQ|INE466L01038
3MINDIA	NSE_EQ|INE470A01017
ABB	NSE_EQ|INE117A01022
ACC	NSE_EQ|INE012A01025
ACMESOLAR	NSE_EQ|INE622W01025
AIAENG	NSE_EQ|INE212H01026
APLAPOLLO	NSE_EQ|INE702C01027
AUBANK	NSE_EQ|INE949L01017
AWL	NSE_EQ|INE699H01024
AADHARHFC	NSE_EQ|INE883F01010
AARTIIND	NSE_EQ|INE769A01020
AAVAS	NSE_EQ|INE216P01012
ABBOTINDIA	NSE_EQ|INE358A01014
ACE	NSE_EQ|INE731H01025
ADANIENSOL	NSE_EQ|INE931S01010
ADANIENT	NSE_EQ|INE423A01024
ADANIGREEN	NSE_EQ|INE364U01010
ADANIPORTS	NSE_EQ|INE742F01042
ADANIPOWER	NSE_EQ|INE814H01029
ATGL	NSE_EQ|INE399L01023
ABCAPITAL	NSE_EQ|INE674K01013
ABFRL	NSE_EQ|INE647O01011
ABLBL	NSE_EQ|INE14LE01019
ABREL	NSE_EQ|INE055A01016
ABSLAMC	NSE_EQ|INE404A01024
AEGISLOG	NSE_EQ|INE208C01025
AEGISVOPAK	NSE_EQ|INE0INX01018
AFCONS	NSE_EQ|INE101I01011
AFFLE	NSE_EQ|INE00WC01027
AJANTPHARM	NSE_EQ|INE031B01049
AKUMS	NSE_EQ|INE09XN01023
AKZOINDIA	NSE_EQ|INE133A01011
APLLTD	NSE_EQ|INE901L01018
ALKEM	NSE_EQ|INE540L01014
ALKYLAMINE	NSE_EQ|INE150B01039
ALOKINDS	NSE_EQ|INE270A01029
ARE&M	NSE_EQ|INE885A01032
AMBER	NSE_EQ|INE371P01015
AMBUJACEM	NSE_EQ|INE079A01024
ANANDRATHI	NSE_EQ|INE463V01026
ANANTRAJ	NSE_EQ|INE242C01024
ANGELONE	NSE_EQ|INE732I01013
APARINDS	NSE_EQ|INE372A01015
APOLLOHOSP	NSE_EQ|INE437A01024
APOLLOTYRE	NSE_EQ|INE438A01022
APTUS	NSE_EQ|INE852O01025
ASAHIINDIA	NSE_EQ|INE439A01020
ASHOKLEY	NSE_EQ|INE208A01029
ASIANPAINT	NSE_EQ|INE021A01026
ASTERDM	NSE_EQ|INE914M01019
ASTRAZEN	NSE_EQ|INE203A01020
ASTRAL	NSE_EQ|INE006I01046
ATHERENERG	NSE_EQ|INE0LEZ01016
ATUL	NSE_EQ|INE100A01010
AUROPHARMA	NSE_EQ|INE406A01037
AIIL	NSE_EQ|INE206F01022
DMART	NSE_EQ|INE192R01011
AXISBANK	NSE_EQ|INE238A01034
BASF	NSE_EQ|INE373A01013
BEML	NSE_EQ|INE258A01024
BLS	NSE_EQ|INE153T01027
BSE	NSE_EQ|INE118H01025
BAJAJ-AUTO	NSE_EQ|INE917I01010
BAJFINANCE	NSE_EQ|INE296A01032
BAJAJFINSV	NSE_EQ|INE918I01026
BAJAJHLDNG	NSE_EQ|INE118A01012
BAJAJHFL	NSE_EQ|INE377Y01014
BALKRISIND	NSE_EQ|INE787D01026
BALRAMCHIN	NSE_EQ|INE119A01028
BANDHANBNK	NSE_EQ|INE545U01014
BANKBARODA	NSE_EQ|INE028A01039
BANKINDIA	NSE_EQ|INE084A01016
MAHABANK	NSE_EQ|INE457A01014
BATAINDIA	NSE_EQ|INE176A01028
BAYERCROP	NSE_EQ|INE462A01022
BERGEPAINT	NSE_EQ|INE463A01038
BDL	NSE_EQ|INE171Z01026
BEL	NSE_EQ|INE263A01024
BHARATFORG	NSE_EQ|INE465A01025
BHEL	NSE_EQ|INE257A01026
BPCL	NSE_EQ|INE029A01011
BHARTIARTL	NSE_EQ|INE397D01024
BHARTIHEXA	NSE_EQ|INE343G01021
BIKAJI	NSE_EQ|INE00E101023
BIOCON	NSE_EQ|INE376G01013
BSOFT	NSE_EQ|INE836A01035
BLUEDART	NSE_EQ|INE233B01017
BLUEJET	NSE_EQ|INE0KBH01020
BLUESTARCO	NSE_EQ|INE472A01039
BBTC	NSE_EQ|INE050A01025
BOSCHLTD	NSE_EQ|INE323A01026
FIRSTCRY	NSE_EQ|INE02RE01045
BRIGADE	NSE_EQ|INE791I01019
BRITANNIA	NSE_EQ|INE216A01030
MAPMYINDIA	NSE_EQ|INE0BV301023
CCL	NSE_EQ|INE421D01022
CESC	NSE_EQ|INE486A01021
CGPOWER	NSE_EQ|INE067A01029
CRISIL	NSE_EQ|INE007A01025
CAMPUS	NSE_EQ|INE278Y01022
CANFINHOME	NSE_EQ|INE477A01020
CANBK	NSE_EQ|INE476A01022
CAPLIPOINT	NSE_EQ|INE475E01026
CGCL	NSE_EQ|INE180C01042
CARBORUNIV	NSE_EQ|INE120A01034
CASTROLIND	NSE_EQ|INE172A01027
CEATLTD	NSE_EQ|INE482A01020
CENTRALBK	NSE_EQ|INE483A01010
CDSL	NSE_EQ|INE736A01011
CENTURYPLY	NSE_EQ|INE348B01021
CERA	NSE_EQ|INE739E01017
CHALET	NSE_EQ|INE427F01016
CHAMBLFERT	NSE_EQ|INE085A01013
CHENNPETRO	NSE_EQ|INE178A01016
CHOICEIN	NSE_EQ|INE102B01014
CHOLAHLDNG	NSE_EQ|INE149A01033
CHOLAFIN	NSE_EQ|INE121A01024
CIPLA	NSE_EQ|INE059A01026
CUB	NSE_EQ|INE491A01021
CLEAN	NSE_EQ|INE227W01023
COALINDIA	NSE_EQ|INE522F01014
COCHINSHIP	NSE_EQ|INE704P01025
COFORGE	NSE_EQ|INE591G01025
COHANCE	NSE_EQ|INE03QK01018
COLPAL	NSE_EQ|INE259A01022
CAMS	NSE_EQ|INE596I01020
CONCORDBIO	NSE_EQ|INE338H01029
CONCOR	NSE_EQ|INE111A01025
COROMANDEL	NSE_EQ|INE169A01031
CRAFTSMAN	NSE_EQ|INE00LO01017
CREDITACC	NSE_EQ|INE741K01010
CROMPTON	NSE_EQ|INE299U01018
CUMMINSIND	NSE_EQ|INE298A01020
CYIENT	NSE_EQ|INE136B01020
DCMSHRIRAM	NSE_EQ|INE499A01024
DLF	NSE_EQ|INE271C01023
DOMS	NSE_EQ|INE321T01012
DABUR	NSE_EQ|INE016A01026
DALBHARAT	NSE_EQ|INE00R701025
DATAPATTNS	NSE_EQ|INE0IX101010
DEEPAKFERT	NSE_EQ|INE501A01019
DEEPAKNTR	NSE_EQ|INE288B01029
DELHIVERY	NSE_EQ|INE148O01028
DEVYANI	NSE_EQ|INE872J01023
DIVISLAB	NSE_EQ|INE361B01024
DIXON	NSE_EQ|INE935N01020
AGARWALEYE	NSE_EQ|INE943P01029
LALPATHLAB	NSE_EQ|INE600L01024
DRREDDY	NSE_EQ|INE089A01031
DUMMYSKFIN	NSE_EQ|DUM640A01023
EIDPARRY	NSE_EQ|INE126A01031
EIHOTEL	NSE_EQ|INE230A01023
EICHERMOT	NSE_EQ|INE066A01021
ELECON	NSE_EQ|INE205B01031
ELGIEQUIP	NSE_EQ|INE285A01027
EMAMILTD	NSE_EQ|INE548C01032
EMCURE	NSE_EQ|INE168P01015
ENDURANCE	NSE_EQ|INE913H01037
ENGINERSIN	NSE_EQ|INE510A01028
ERIS	NSE_EQ|INE406M01024
ESCORTS	NSE_EQ|INE042A01014
ETERNAL	NSE_EQ|INE758T01015
EXIDEIND	NSE_EQ|INE302A01020
NYKAA	NSE_EQ|INE388Y01029
FEDERALBNK	NSE_EQ|INE171A01029
FACT	NSE_EQ|INE188A01015
FINCABLES	NSE_EQ|INE235A01022
FINPIPE	NSE_EQ|INE183A01024
FSL	NSE_EQ|INE684F01012
FIVESTAR	NSE_EQ|INE128S01021
FORCEMOT	NSE_EQ|INE451A01017
FORTIS	NSE_EQ|INE061F01013
GAIL	NSE_EQ|INE129A01019
GVT&D	NSE_EQ|INE200A01026
GMRAIRPORT	NSE_EQ|INE776C01039
GRSE	NSE_EQ|INE382Z01011
GICRE	NSE_EQ|INE481Y01014
GILLETTE	NSE_EQ|INE322A01010
GLAND	NSE_EQ|INE068V01023
GLAXO	NSE_EQ|INE159A01016
GLENMARK	NSE_EQ|INE935A01035
MEDANTA	NSE_EQ|INE474Q01031
GODIGIT	NSE_EQ|INE03JT01014
GPIL	NSE_EQ|INE177H01039
GODFRYPHLP	NSE_EQ|INE260B01028
GODREJAGRO	NSE_EQ|INE850D01014
GODREJCP	NSE_EQ|INE102D01028
GODREJIND	NSE_EQ|INE233A01035
GODREJPROP	NSE_EQ|INE484J01027
GRANULES	NSE_EQ|INE101D01020
GRAPHITE	NSE_EQ|INE371A01025
GRASIM	NSE_EQ|INE047A01021
GRAVITA	NSE_EQ|INE024L01027
GESHIP	NSE_EQ|INE017A01032
FLUOROCHEM	NSE_EQ|INE09N301011
GUJGASLTD	NSE_EQ|INE844O01030
GMDCLTD	NSE_EQ|INE131A01031
GSPL	NSE_EQ|INE246F01010
HEG	NSE_EQ|INE545A01024
